                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0067,                 9.7817,                 2.9748,                0.00672,                0.03901,                0.00217,                0.00039,                 3.4561,                 13.595,                  2.467,                 0.0905,                 0.0005,                 0.0005
                      2,                 1.7493,                 3.2151,                 1.4407,                0.01736,                0.14894,                0.01359,                0.00392,                 2.2508,                 70.815,                 1.5756,               0.080008,              0.0010084,              0.0010084
                      3,                 1.6651,                 2.4784,                 1.2955,                0.34035,                0.10284,                0.00661,                0.00156,                 2.4781,                    inf,                  2.005,               0.069473,              0.0014733,              0.0014733
                      4,                 1.6675,                 2.3245,                 1.4283,                0.36867,                0.07447,                 0.0428,                0.01697,                 3.0525,                    inf,                  2.032,               0.058895,              0.0018946,              0.0018946
                      5,                 1.4313,                 2.0897,                 1.2933,                0.15497,                0.38279,                0.17876,                0.08178,                 2.3225,                    inf,                 2.2441,               0.048272,              0.0022723,              0.0022723
                      6,                 1.4691,                 1.9698,                 1.3055,                0.10755,                0.82773,                 0.2182,                0.09054,                 1.8618,                    inf,                 1.5628,               0.037607,              0.0026065,              0.0026065
                      7,                 1.4113,                 1.8553,                 1.2894,                 0.1426,                0.16556,                0.08398,                0.03649,                 2.7495,                    inf,                 2.3615,               0.026897,              0.0028971,              0.0028971
                      8,                 1.4909,                 1.9033,                 1.3748,                0.37442,                0.06383,                 0.0118,                0.00661,                 3.9897,                    inf,                 3.9698,               0.016144,              0.0031442,              0.0031442
                      9,                 1.3083,                 1.6589,                 1.2201,                0.38517,                0.06028,                0.01546,                0.00718,                 3.8279,                 42.204,                 3.2676,              0.0053477,              0.0033477,              0.0033477
                     10,                 1.3624,                 1.5995,                 1.2516,                 0.4818,                0.16312,                0.15564,                0.09415,                 2.2981,                 3.4202,                 1.5266,               0.003218,               0.003218,               0.003218
                     11,                 1.2668,                 1.4979,                 1.2218,                0.55308,                0.57956,                0.42368,                0.29086,                 2.1287,                 3.2838,                 1.3793,               0.003218,               0.003218,               0.003218
                     12,                 1.3176,                  1.438,                  1.211,                0.45519,                0.65502,                0.45128,                0.17656,                 2.5231,                 3.7657,                 1.5344,                0.00302,                0.00302,                0.00302
                     13,                 1.2445,                 1.2645,                 1.1537,                0.41153,                0.62815,                 0.4553,                0.19864,                 2.1895,                 2.2327,                 1.3977,               0.002822,               0.002822,               0.002822
                     14,                 1.3131,                 1.2738,                 1.2275,                0.45532,                0.63776,                0.58705,                0.32173,                 1.5984,                 1.7977,                 1.2171,               0.002624,               0.002624,               0.002624
                     15,                 1.2781,                 1.2037,                 1.2064,                  0.469,                0.85477,                0.59729,                0.37415,                 1.4756,                 1.2967,                  1.168,               0.002426,               0.002426,               0.002426
                     16,                 1.2306,                 1.1255,                 1.2043,                0.61649,                 0.8746,                0.71345,                0.51265,                 1.2727,                 1.2248,                 1.0512,               0.002228,               0.002228,               0.002228
                     17,                  1.216,                 1.0898,                 1.1537,                0.68726,                0.89738,                0.79563,                0.52808,                 1.3544,                  1.093,                 1.1028,                0.00203,                0.00203,                0.00203
                     18,                 1.2228,                 1.1723,                 1.1716,                0.63497,                0.84044,                0.76825,                0.53215,                 1.2952,                 1.1482,                 1.0271,               0.001832,               0.001832,               0.001832
                     19,                 1.1421,                 1.0369,                 1.1456,                0.71853,                0.84309,                0.81484,                 0.5772,                 1.2343,                 1.0239,                 1.0228,               0.001634,               0.001634,               0.001634
                     20,                 1.1583,                 1.0351,                 1.1457,                 0.5851,                0.95311,                0.84298,                0.58754,                 1.2639,                 1.0371,                 1.0531,               0.001436,               0.001436,               0.001436
                     21,                 1.0742,                0.93077,                 1.1452,                0.68005,                0.94457,                0.84088,                 0.5725,                 1.2744,                0.87013,                 1.0643,               0.001238,               0.001238,               0.001238
                     22,                 1.0961,                0.92204,                 1.1213,                0.69473,                0.85106,                0.83133,                0.59602,                  1.174,                0.83146,                 1.0076,                0.00104,                0.00104,                0.00104
                     23,                 1.0668,                0.88466,                 1.1068,                0.63516,                0.96476,                0.72688,                0.50781,                 1.2078,                0.89056,                 1.0055,               0.000842,               0.000842,               0.000842
                     24,                 1.0758,                0.85821,                 1.1123,                 0.6393,                0.96719,                0.76762,                0.54055,                 1.2302,                0.81186,                 1.0276,               0.000644,               0.000644,               0.000644
                     25,                 1.0519,                0.84486,                 1.1218,                 0.6822,                0.93502,                0.80422,                0.56962,                 1.2315,                0.80263,                 1.0325,               0.000446,               0.000446,               0.000446
